category,overlayMarkerColor,lat,long,icon,text,description
Forts,purple,-150.125,74.75,fort,The Golden Palace,"Description of the location, accepts commas and <strong>tags</strong>"
Forts,purple,-131.96875,96.234375,fortTower,Whitebridge Pass,"Description of the location, accepts commas and <strong>tags</strong>"
Forts,purple,-144.828125,208.75,fortTower,Kniferidge Tower,"Description of the location, accepts commas and <strong>tags</strong>"
Forts,purple,-131.59375,193.484375,fort,Pine Palace,"Description of the location, accepts commas and <strong>tags</strong>"
Forts,purple,-134.5,211.421875,poi,Fort Eaglecrest,"Description of the location, accepts commas and <strong>tags</strong>"
Forts,purple,-123.9375,177.546875,fortTower,Lancer Gate,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-129.431875,73.875,temple,The Soot Healer,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-152.1875,52.53125,temple,Pyramid to the First Dragon Prince,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-129.546875,86.078125,temple,Temple of Artamius,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-136.609375,104.765625,temple,Temple of Mystra,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-134.203125,131.71875,temple,Monastry of the Salt Born, Eldath,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-161.453125,98.578125,temple,Temple of Zephora,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-175.078125,100.140625,temple,Temple of Gao,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-82.0625,200.171875,temple,Temple to the Frost Guard,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-91,168.71875,temple,Temple of Tupana,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-130.859375,135.625,temple,High Temple of Eldath,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-164.96875,180.03125,temple,Temple of Idola,"Description of the location, accepts commas and <strong>tags</strong>"
Temples,darkblue,-138.53125,189.5,temple,Shrine of Kelemvor,"Description of the location, accepts commas and <strong>tags</strong>"
Mage Towers,blue,-86.734375,48.671875,mageTower,Ochri College,"Description of the location, accepts commas and <strong>tags</strong>"
Mage Towers,blue,-173.640625,57.703125,mageTower,Cinder's College,"Description of the location, accepts commas and <strong>tags</strong>"
Mage Towers,blue,-107.921875,128.171875,mageTower,Seiche College,"Description of the location, accepts commas and <strong>tags</strong>"
Mage Towers,blue,-167.3125,150.6875,mageTower,Thornheart College,"Description of the location, accepts commas and <strong>tags</strong>"
Mage Towers,blue,-104.234375,203.21875,mageTower,Deeplook College,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-92.0625,50.0625,poi,Teglhus,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-108.234375,62.78125,poi,The Great Tree,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-130.890625,56.5,poi,Mistrith Keep,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-136.9375,57.265625,poi,Lacertid Caves,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-139.625,63.96875,poi,Gurvel's Oasis,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-156.1875,61.015625,poi,Gat Ull,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-124.109375,105.5,poi,Unknown Shrine,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-118.265625,124.625,poi,The Pool of Suffering,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-156.765625,132.3125,poi,Tulivori,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-156.390625,120.015625,poi,Ampsire Oasis,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-92.03125,185.8125,poi,??? World Rod,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-132.921875,179.765625,poi,Mountebank Forest,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-140.4375,199.90625,poi,Boros Mine,"Description of the location, accepts commas and <strong>tags</strong>"
Points of Interest,lightblue,-124,53.515625,poi,Khavar Spring","Description of the location, accepts commas and <strong>tags</strong>"
